session_id,user_id,role,login_hour,login_day,location_change,device_change,failed_logins,session_duration,resource_access_count,sensitive_resource_access,data_volume,message_count,suspicious_url_count,privilege_level,role_change_attempt,after_hours_activity,ip_reputation,behaviour_deviation,transfer_amount,new_external_payees,threat_type
S010399,t.banerjee,dba,10.0,5.0,1.0,1.0,0.0,603.0,17.0,8.0,585049.0,0.0,0.0,4.0,0.0,1.0,0.95,1.5224,0,0.0,compromised
S000548,l.mathew,manager,8.0,4.0,0.0,0.0,0.0,701.0,7.0,1.0,1721.0,239.0,0.0,3.0,0.0,0.0,0.05,0.7902,912300.0,0.0,normal
S007353,s.iyer,teller,9.0,2.0,0.0,0.0,0.0,498.0,5.0,1.0,89.0,8.0,0.0,1.0,0.0,0.0,0.05,0.9296,22100.0,0.0,normal
S007951,d.sharma,analyst,11.0,2.0,0.0,0.0,0.0,581.0,3.0,1.0,5508.0,3.0,0.0,2.0,0.0,2.0,0.05,0.6876,0,0.0,normal
S007595,r.krishnan,teller,9.0,3.0,0.0,0.0,0.0,504.0,11.0,5.0,289.0,13.0,0.0,1.0,0.0,0.0,0.05,0.9619,74400.0,0.0,normal
S006369,s.iyer,teller,9.0,3.0,0.0,0.0,0.0,486.0,11.0,3.0,249.0,3.0,0.0,1.0,0.0,0.0,0.05,0.7387,27400.0,0.0,normal
S003917,d.sharma,analyst,10.0,3.0,0.0,0.0,0.0,582.0,12.0,1.0,19032.0,5.0,0.0,2.0,0.0,1.0,0.05,0.6827,0,0.0,normal
S003805,t.banerjee,dba,10.0,2.0,0.0,0.0,0.0,612.0,14.0,8.0,39934.0,0.0,0.0,4.0,0.0,4.0,0.05,0.6657,0,0.0,normal
S008317,k.venkatesh,analyst,9.0,0.0,0.0,0.0,0.0,575.0,3.0,0.0,4279.0,3.0,0.0,2.0,0.0,0.0,0.05,0.6821,0,0.0,normal
S003285,t.banerjee,dba,11.0,0.0,0.0,0.0,0.0,630.0,9.0,6.0,23062.0,0.0,0.0,4.0,0.0,5.0,0.05,0.7491,0,0.0,normal
S003377,r.krishnan,teller,10.0,4.0,0.0,1.0,0.0,483.0,13.0,2.0,233.0,5.0,0.0,1.0,0.0,0.0,0.05,0.7998,34200.0,0.0,normal
S000293,k.venkatesh,analyst,10.0,3.0,0.0,0.0,0.0,549.0,11.0,6.0,18856.0,7.0,0.0,2.0,0.0,0.0,0.05,0.7084,0,0.0,normal
S002152,s.iyer,teller,10.0,1.0,0.0,0.0,0.0,510.0,12.0,3.0,306.0,3.0,0.0,1.0,0.0,0.0,0.05,0.7149,107000.0,0.0,normal
S006607,k.venkatesh,analyst,9.0,4.0,0.0,0.0,0.0,551.0,6.0,3.0,12661.0,7.0,0.0,2.0,0.0,0.0,0.05,0.7915,0,0.0,normal
S001267,t.banerjee,dba,9.0,3.0,0.0,0.0,0.0,617.0,18.0,5.0,57675.0,0.0,0.0,4.0,0.0,1.0,0.05,0.7385,0,0.0,normal
S001670,k.venkatesh,analyst,9.0,2.0,0.0,0.0,0.0,546.0,6.0,1.0,6297.0,6.0,0.0,2.0,0.0,0.0,0.05,0.6821,0,0.0,normal
S008322,k.venkatesh,analyst,10.0,4.0,0.0,0.0,2.0,556.0,8.0,2.0,7463.0,7.0,0.0,2.0,0.0,0.0,0.05,0.6856,0,0.0,normal
S004279,r.krishnan,teller,9.0,3.0,0.0,0.0,0.0,480.0,5.0,2.0,65.0,3.0,0.0,1.0,0.0,0.0,0.05,0.7531,80300.0,0.0,normal
S004151,m.d'souza,officer,11.0,3.0,0.0,0.0,0.0,576.0,8.0,1.0,994.0,40.0,0.0,2.0,0.0,1.0,0.05,0.8937,176200.0,0.0,normal
S000160,l.mathew,manager,8.0,1.0,0.0,0.0,2.0,663.0,5.0,2.0,1671.0,410.0,0.0,3.0,0.0,0.0,0.05,1.0475,1220600.0,0.0,normal
S000250,t.banerjee,dba,10.0,4.0,0.0,0.0,0.0,617.0,8.0,2.0,22238.0,0.0,0.0,4.0,0.0,3.0,0.05,0.8798,0,0.0,normal
S010247,p.nair,officer,9.0,0.0,1.0,1.0,2.0,584.0,11.0,4.0,32726.0,43.0,0.0,2.0,0.0,0.0,0.95,1.8962,787500.0,0.0,compromised
S009317,v.rao,manager,7.0,2.0,0.0,0.0,0.0,601.0,11.0,2.0,1615.0,62.0,0.0,3.0,0.0,1.0,0.05,0.8134,502200.0,0.0,normal
